,Vehicle,engine_type,engine_config,cylinders,displacement,hp,tq
6925,2016 Chrysler 300 Specs: 4-Door Sedan 300S Alloy Edition RWD,v6,v,6,3.6,300,264
6926,2016 Chrysler 300 Specs: 4-Door Sedan 300S RWD,v6,v,6,3.6,300,264
6927,2016 Chrysler 300 Specs: 4-Door Sedan 300C Platinum RWD,v6,v,6,3.6,292,260
6928,2016 Chrysler 300 Specs: 4-Door Sedan 300C RWD,v6,v,6,3.6,292,260
6929,2016 Chrysler 300 Specs: 4-Door Sedan Limited AWD,v6,v,6,3.6,292,260
6930,2016 Chrysler 300 Specs: 4-Door Sedan Anniversary Edition AWD,v6,v,6,3.6,292,260
6931,2016 Chrysler 300 Specs: 4-Door Sedan 300S Alloy Edition AWD,v6,v,6,3.6,300,264
6932,2016 Chrysler 300 Specs: 4-Door Sedan 300S AWD,v6,v,6,3.6,300,264
6933,2016 Chrysler 300 Specs: 4-Door Sedan 300C Platinum AWD,v6,v,6,3.6,292,260
6934,2015 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v6,v,6,3.6,292,260
6935,2015 Chrysler 300 Specs: 4-Door Sedan Limited RWD,v6,v,6,3.6,292,260
6936,2015 Chrysler 300 Specs: 4-Door Sedan 300S RWD,v6,v,6,3.6,300,264
6937,2015 Chrysler 300 Specs: 4-Door Sedan 300C Platinum RWD,v6,v,6,3.6,292,260
6938,2015 Chrysler 300 Specs: 4-Door Sedan 300C RWD,v6,v,6,3.6,292,260
6939,2015 Chrysler 300 Specs: 4-Door Sedan Limited AWD,v6,v,6,3.6,292,260
6940,2015 Chrysler 300 Specs: 4-Door Sedan 300S AWD,v6,v,6,3.6,300,264
6941,2015 Chrysler 300 Specs: 4-Door Sedan 300C Platinum AWD,v6,v,6,3.6,292,260
6942,2014 Chrysler 300 Specs: 4-Door Sedan AWD,v6,v,6,3.6,292,260
6943,2014 Chrysler 300 Specs: 4-Door Sedan Uptown Edition RWD,v6,v,6,3.6,292,260
6944,2014 Chrysler 300 Specs: 4-Door Sedan SRT8 RWD,v8,v,8,6.4,470,470
6945,2014 Chrysler 300 Specs: 4-Door Sedan 300S RWD,v6,v,6,3.6,300,264
6946,2014 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Luxury Edition RWD,v6,v,6,3.6,292,260
6947,2014 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Limited Edition RWD,v6,v,6,3.6,292,260
6948,2014 Chrysler 300 Specs: 4-Door Sedan 300C RWD,v6,v,6,3.6,292,260
6949,2014 Chrysler 300 Specs: 4-Door Sedan 300 SRT8 Core RWD,v8,v,8,6.4,470,470
6950,2014 Chrysler 300 Specs: 4-Door Sedan RWD,v6,v,6,3.6,292,260
6951,2014 Chrysler 300 Specs: 4-Door Sedan Uptown Edition AWD,v6,v,6,3.6,292,260
6952,2014 Chrysler 300 Specs: 4-Door Sedan 300S AWD,v6,v,6,3.6,300,264
6953,2014 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Luxury Edition AWD,v6,v,6,3.6,292,260
6954,2014 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Limited Edition AWD,v6,v,6,3.6,292,260
6955,2014 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v6,v,6,3.6,292,260
6956,2013 Chrysler 300 Specs: 4-Door Sedan AWD,v6,v,6,3.6,292,260
6957,2013 Chrysler 300 Specs: 4-Door Sedan SRT8 RWD,v8,v,8,6.4,470,470
6958,2013 Chrysler 300 Specs: 4-Door Sedan Motown RWD,v6,v,6,3.6,292,260
6959,2013 Chrysler 300 Specs: 4-Door Sedan Luxury Series RWD,v6,v,6,3.6,292,260
6960,2013 Chrysler 300 Specs: 4-Door Sedan 300S RWD,v6,v,6,3.6,292,260
6961,2013 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Luxury Edition RWD,v6,v,6,3.6,292,260
6962,2013 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Limited Edition RWD,v6,v,6,3.6,292,260
6963,2013 Chrysler 300 Specs: 4-Door Sedan 300C RWD,v6,v,6,3.6,292,260
6964,2013 Chrysler 300 Specs: 4-Door Sedan 300 SRT8 Core RWD,v8,v,8,6.4,470,470
6965,2013 Chrysler 300 Specs: 4-Door Sedan RWD,v6,v,6,3.6,292,260
6966,2013 Chrysler 300 Specs: 4-Door Sedan Luxury Series AWD,v6,v,6,3.6,292,260
6967,2013 Chrysler 300 Specs: 4-Door Sedan 300S AWD Glacier,v6,v,6,3.6,292,260
6968,2013 Chrysler 300 Specs: 4-Door Sedan 300S AWD,v6,v,6,3.6,292,260
6969,2013 Chrysler 300 Specs: 4-Door Sedan 300C John Varvatos Luxury Edition AWD,v6,v,6,3.6,292,260
6970,2013 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v6,v,6,3.6,292,260
6971,2012 Chrysler 300 Specs: 4-Door Sedan V6 300S AWD,v6,v,6,3.6,292,260
6972,2012 Chrysler 300 Specs: 4-Door Sedan V8 SRT8 RWD,v8,v,8,6.4,470,470
6973,2012 Chrysler 300 Specs: 4-Door Sedan V8 Mopar 12 RWD,v8,v,8,5.7,363,394
6974,2012 Chrysler 300 Specs: 4-Door Sedan V8 300S RWD,v8,v,8,5.7,363,394
6975,2012 Chrysler 300 Specs: 4-Door Sedan V8 300C Luxury Series RWD,v8,v,8,5.7,363,394
6976,2012 Chrysler 300 Specs: 4-Door Sedan V8 300C RWD,v8,v,8,5.7,363,394
6977,2012 Chrysler 300 Specs: 4-Door Sedan V8 300S AWD,v8,v,8,5.7,363,394
6978,2012 Chrysler 300 Specs: 4-Door Sedan V8 300C Luxury Series AWD,v8,v,8,5.7,363,394
6979,2012 Chrysler 300 Specs: 4-Door Sedan V8 300C AWD,v8,v,8,5.7,363,394
6980,2012 Chrysler 300 Specs: 4-Door Sedan V6 Limited RWD,v6,v,6,3.6,292,260
6981,2012 Chrysler 300 Specs: 4-Door Sedan V6 300S RWD,v6,v,6,3.6,292,260
6982,2012 Chrysler 300 Specs: 4-Door Sedan V6 RWD,v6,v,6,3.6,292,260
6983,2012 Chrysler 300 Specs: 4-Door Sedan V6 Limited AWD,v6,v,6,3.6,292,260
6984,2011 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,363,394
6985,2011 Chrysler 300 Specs: 4-Door Sedan Limited RWD,v6,v,6,3.6,292,260
6986,2011 Chrysler 300 Specs: 4-Door Sedan 300C RWD,v8,v,8,5.7,363,394
6987,2011 Chrysler 300 Specs: 4-Door Sedan RWD,v6,v,6,3.6,292,260
6988,2010 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,360,389
6989,2010 Chrysler 300 Specs: 4-Door Sedan Touring Signature RWD,v6,v,6,3.5,250,250
6990,2010 Chrysler 300 Specs: 4-Door Sedan Touring Plus RWD,v6,v,6,3.5,250,250
6991,2010 Chrysler 300 Specs: 4-Door Sedan Touring Executive RWD,v6,v,6,3.5,250,250
6992,2010 Chrysler 300 Specs: 4-Door Sedan Touring RWD,v6,v,6,2.7,178,190
6993,2010 Chrysler 300 Specs: 4-Door Sedan Limited RWD,v6,v,6,3.5,250,250
6994,2010 Chrysler 300 Specs: 4-Door Sedan 300S V8 RWD,v8,v,8,5.7,360,389
6995,2010 Chrysler 300 Specs: 4-Door Sedan 300S V6 RWD,v6,v,6,3.5,250,250
6996,2010 Chrysler 300 Specs: 4-Door Sedan 300C SRT8 RWD,v8,v,8,6.1,425,420
6997,2010 Chrysler 300 Specs: 4-Door Sedan 300C Hemi Executive RWD,v8,v,8,5.7,360,389
6998,2010 Chrysler 300 Specs: 4-Door Sedan 300C Hemi RWD,v8,v,8,5.7,360,389
6999,2010 Chrysler 300 Specs: 4-Door Sedan Touring Signature AWD,v6,v,6,3.5,250,250
7000,2010 Chrysler 300 Specs: 4-Door Sedan Limited AWD,v6,v,6,3.5,250,250
7001,2009 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,370,398
7002,2009 Chrysler 300 Specs: 4-Door Sedan Touring,v6,v,6,2.7,178,190
7003,2009 Chrysler 300 Specs: 4-Door Sedan Touring Signature RWD,v6,v,6,3.5,250,250
7004,2009 Chrysler 300 Specs: 4-Door Sedan Touring Executive RWD,v6,v,6,3.5,250,250
7005,2009 Chrysler 300 Specs: 4-Door Sedan Touring RWD,v6,v,6,3.5,250,250
7006,2009 Chrysler 300 Specs: 4-Door Sedan LX RWD,v6,v,6,2.7,178,190
7007,2009 Chrysler 300 Specs: 4-Door Sedan Limited RWD,v6,v,6,3.5,250,250
7008,2009 Chrysler 300 Specs: 4-Door Sedan 300C SRT8 RWD,v8,v,8,6.1,425,420
7009,2009 Chrysler 300 Specs: 4-Door Sedan 300C Hemi Executive RWD,v8,v,8,5.7,370,398
7010,2009 Chrysler 300 Specs: 4-Door Sedan 300C Hemi RWD,v8,v,8,5.7,370,398
7011,2009 Chrysler 300 Specs: 4-Door Sedan Touring Signature AWD,v6,v,6,3.5,250,250
7012,2009 Chrysler 300 Specs: 4-Door Sedan Touring AWD,v6,v,6,3.5,250,250
7013,2009 Chrysler 300 Specs: 4-Door Sedan Limited AWD,v6,v,6,3.5,250,250
7014,2008 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,340,390
7015,2008 Chrysler 300 Specs: 4-Door Sedan 300 Touring RWD,v6,v,6,3.5,250,250
7016,2008 Chrysler 300 Specs: 4-Door Sedan 300 LX RWD,v6,v,6,2.7,178,190
7017,2008 Chrysler 300 Specs: 4-Door Sedan 300 Limited RWD,v6,v,6,3.5,250,250
7018,2008 Chrysler 300 Specs: 4-Door Sedan 300C SRT8 RWD,v8,v,8,6.1,425,420
7019,2008 Chrysler 300 Specs: 4-Door Sedan 300C Hemi RWD,v8,v,8,5.7,340,390
7020,2008 Chrysler 300 Specs: 4-Door Sedan 300 Touring AWD,v6,v,6,3.5,250,250
7021,2008 Chrysler 300 Specs: 4-Door Sedan 300 Limited AWD,v6,v,6,3.5,250,250
7022,2007 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,340,390
7023,2007 Chrysler 300 Specs: 4-Door Sedan 300 Touring RWD,v6,v,6,3.5,250,250
7024,2007 Chrysler 300 Specs: 4-Door Sedan 300 Signature RWD,v6,v,6,3.5,250,250
7025,2007 Chrysler 300 Specs: 4-Door Sedan 300 Limited RWD,v6,v,6,3.5,250,250
7026,2007 Chrysler 300 Specs: 4-Door Sedan 300 Executive RWD,v8,v,8,5.7,340,390
7027,2007 Chrysler 300 Specs: 4-Door Sedan 300C SRT8 RWD,v8,v,8,6.1,425,420
7028,2007 Chrysler 300 Specs: 4-Door Sedan 300 Executive RWD.1,v8,v,8,5.7,340,390
7029,2007 Chrysler 300 Specs: 4-Door Sedan 300 RWD,v6,v,6,2.7,190,190
7030,2007 Chrysler 300 Specs: 4-Door Sedan 300 Touring AWD,v6,v,6,3.5,250,250
7031,2007 Chrysler 300 Specs: 4-Door Sedan 300 Limited AWD,v6,v,6,3.5,250,250
7032,2006 Chrysler 300 Specs: 4-Door Sedan 300,v6,v,6,2.7,190,190
7033,2006 Chrysler 300 Specs: 4-Door Sedan 300 Touring,v6,v,6,3.5,250,250
7034,2006 Chrysler 300 Specs: 4-Door Sedan 300C SRT8,v8,v,8,6.1,425,420
7035,2006 Chrysler 300 Specs: 4-Door Sedan 300C,v8,v,8,5.7,340,390
7036,2005 Chrysler 300 Specs: 4-Door Sedan 300,v6,v,6,2.7,190,190
7037,2005 Chrysler 300 Specs: 4-Door Sedan 300C SRT8,v8,v,8,6.1,425,420
7038,2005 Chrysler 300 Specs: 4-Door Sedan 300C AWD,v8,v,8,5.7,340,390
7039,2005 Chrysler 300 Specs: 4-Door Sedan 300C,v8,v,8,5.7,340,390
7040,2005 Chrysler 300 Specs: 4-Door Sedan 300 Touring AWD,v6,v,6,3.5,250,250
7041,2005 Chrysler 300 Specs: 4-Door Sedan 300 Touring,v6,v,6,3.5,250,250
7042,2019 Dodge Challenger Specs: GT AWD,v6,v,6,3.6,305,268
7043,2019 Dodge Challenger Specs: SXT RWD,v6,v,6,3.6,305,268
7044,2019 Dodge Challenger Specs: SRT Hellcat Widebody RWD,v8,v,8,6.2,717,656
7045,2019 Dodge Challenger Specs: SRT Hellcat Redeye Widebody RWD,v8,v,8,6.2,797,707
7046,2019 Dodge Challenger Specs: SRT Hellcat Redeye RWD,v8,v,8,6.2,797,707
7047,2019 Dodge Challenger Specs: SRT Hellcat RWD,v8,v,8,6.2,717,656
7048,2019 Dodge Challenger Specs: R/T Scat Pack Widebody RWD,v8,v,8,6.4,485,475
7049,2019 Dodge Challenger Specs: R/T Scat Pack RWD,v8,v,8,6.4,485,475
7050,2019 Dodge Challenger Specs: R/T RWD,v8,v,8,5.7,375,410
7051,2019 Dodge Challenger Specs: GT RWD,v6,v,6,3.6,305,268
7052,2019 Dodge Challenger Specs: SXT AWD,v6,v,6,3.6,305,268
7053,2018 Dodge Challenger Specs: GT AWD,v6,v,6,3.6,305,268
7054,2018 Dodge Challenger Specs: T/A Plus RWD,v8,v,8,5.7,375,410
7055,2018 Dodge Challenger Specs: T/A 392 RWD,v8,v,8,6.4,485,475
7056,2018 Dodge Challenger Specs: T/A RWD,v8,v,8,5.7,375,410
7057,2018 Dodge Challenger Specs: SXT Plus RWD,v6,v,6,3.6,305,268
7058,2018 Dodge Challenger Specs: SXT RWD,v6,v,6,3.6,305,268
7059,2018 Dodge Challenger Specs: SRT Hellcat Widebody RWD,v8,v,8,6.2,707,650
7060,2018 Dodge Challenger Specs: SRT Hellcat RWD,v8,v,8,6.2,707,650
7061,2018 Dodge Challenger Specs: SRT Demon RWD,v8,v,8,6.2,808,717
7062,2018 Dodge Challenger Specs: SRT 392 RWD,v8,v,8,6.4,485,475
7063,2018 Dodge Challenger Specs: R/T Shaker RWD,v8,v,8,5.7,375,410
7064,2018 Dodge Challenger Specs: R/T Scat Pack RWD,v8,v,8,6.4,485,475
7065,2018 Dodge Challenger Specs: R/T Plus Shaker RWD,v8,v,8,5.7,375,410
7066,2018 Dodge Challenger Specs: R/T Plus RWD,v8,v,8,5.7,375,410
7067,2018 Dodge Challenger Specs: R/T RWD,v8,v,8,5.7,375,410
7068,2018 Dodge Challenger Specs: 392 Hemi Scat Pack Shaker RWD,v8,v,8,6.4,485,475
7069,2016 Dodge Challenger Specs: 2-Door Coupe 392 Hemi Scat Pack Shaker,v8,v,8,6.4,485,475
7070,2016 Dodge Challenger Specs: 2-Door Coupe SXT Plus,v6,v,6,3.6,305,268
7071,2016 Dodge Challenger Specs: 2-Door Coupe SXT,v6,v,6,3.6,305,268
7072,2016 Dodge Challenger Specs: 2-Door Coupe SRT Hellcat,v8,v,8,6.2,707,650
7073,2016 Dodge Challenger Specs: 2-Door Coupe SRT 392,v8,v,8,6.4,485,475
7074,2016 Dodge Challenger Specs: 2-Door Coupe R/T Shaker,v8,v,8,5.7,375,410
7075,2016 Dodge Challenger Specs: 2-Door Coupe R/T Scat Pack,v8,v,8,6.4,485,475
7076,2016 Dodge Challenger Specs: 2-Door Coupe R/T Plus Shaker,v8,v,8,5.7,375,410
7077,2016 Dodge Challenger Specs: 2-Door Coupe R/T Plus,v8,v,8,5.7,375,410
7078,2016 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,375,410
7079,2015 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,375,410
7080,2015 Dodge Challenger Specs: 2-Door Coupe SXT Plus,v6,v,6,3.6,305,268
7081,2015 Dodge Challenger Specs: 2-Door Coupe SXT,v6,v,6,3.6,305,268
7082,2015 Dodge Challenger Specs: 2-Door Coupe SRT Hellcat,v8,v,8,6.2,707,650
7083,2015 Dodge Challenger Specs: 2-Door Coupe SRT 392,v8,v,8,6.4,485,475
7084,2015 Dodge Challenger Specs: 2-Door Coupe R/T Shaker,v8,v,8,5.7,375,410
7085,2015 Dodge Challenger Specs: 2-Door Coupe R/T Scat Pack Shaker,v8,v,8,6.4,485,475
7086,2015 Dodge Challenger Specs: 2-Door Coupe R/T Scat Pack,v8,v,8,6.4,485,475
7087,2015 Dodge Challenger Specs: 2-Door Coupe R/T Plus Shaker,v8,v,8,5.7,375,410
7088,2015 Dodge Challenger Specs: 2-Door Coupe R/T Plus,v8,v,8,5.7,375,410
7089,2014 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,375,410
7090,2014 Dodge Challenger Specs: 2-Door Coupe SXT Plus,v6,v,6,3.6,305,268
7091,2014 Dodge Challenger Specs: 2-Door Coupe SXT 100th Anniversary Appearance Group,v6,v,6,3.6,305,268
7092,2014 Dodge Challenger Specs: 2-Door Coupe SXT,v6,v,6,3.6,305,268
7093,2014 Dodge Challenger Specs: 2-Door Coupe SRT8 Core,v8,v,8,6.4,470,470
7094,2014 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.4,470,470
7095,2014 Dodge Challenger Specs: 2-Door Coupe Shaker Pkg,v8,v,8,5.7,375,410
7096,2014 Dodge Challenger Specs: 2-Door Coupe Rallye Redline,v6,v,6,3.6,305,268
7097,2014 Dodge Challenger Specs: 2-Door Coupe R/T Plus,v8,v,8,5.7,375,410
7098,2014 Dodge Challenger Specs: 2-Door Coupe R/T Classic,v8,v,8,5.7,375,410
7099,2014 Dodge Challenger Specs: 2-Door Coupe R/T 100th Anniversary Appearance Group,v8,v,8,5.7,375,410
7100,2013 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,372,400
7101,2013 Dodge Challenger Specs: 2-Door Coupe SXT Plus,v6,v,6,3.6,305,268
7102,2013 Dodge Challenger Specs: 2-Door Coupe SXT,v6,v,6,3.6,305,268
7103,2013 Dodge Challenger Specs: 2-Door Coupe SRT8 Core,v8,v,8,6.4,470,470
7104,2013 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.4,470,470
7105,2013 Dodge Challenger Specs: 2-Door Coupe Rallye Redline,v6,v,6,3.6,305,268
7106,2013 Dodge Challenger Specs: 2-Door Coupe R/T Plus,v8,v,8,5.7,372,400
7107,2013 Dodge Challenger Specs: 2-Door Coupe R/T Classic,v8,v,8,5.7,372,400
7108,2012 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,372,400
7109,2012 Dodge Challenger Specs: 2-Door Coupe Yellow Jacket,v8,v,8,6.4,470,470
7110,2012 Dodge Challenger Specs: 2-Door Coupe SXT Plus,v6,v,6,3.6,305,268
7111,2012 Dodge Challenger Specs: 2-Door Coupe SXT,v6,v,6,3.6,305,268
7112,2012 Dodge Challenger Specs: 2-Door Coupe SRT8 392,v8,v,8,6.4,470,470
7113,2012 Dodge Challenger Specs: 2-Door Coupe Rallye Redline,v6,v,6,3.6,305,268
7114,2012 Dodge Challenger Specs: 2-Door Coupe R/T Plus,v8,v,8,5.7,372,400
7115,2012 Dodge Challenger Specs: 2-Door Coupe R/T Classic,v8,v,8,5.7,372,400
7116,2011 Dodge Challenger Specs: 2-Door Coupe,v6,v,6,3.6,305,268
7117,2011 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.4,470,470
7118,2011 Dodge Challenger Specs: 2-Door Coupe R/T Classic,v8,v,8,5.7,372,400
7119,2011 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,372,400
7120,2010 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,372,400
7121,2010 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.1,425,420
7122,2010 Dodge Challenger Specs: 2-Door Coupe SE,v6,v,6,3.5,250,250
7123,2010 Dodge Challenger Specs: 2-Door Coupe R/T Classic,v8,v,8,5.7,372,400
7124,2009 Dodge Challenger Specs: 2-Door Coupe R/T,v8,v,8,5.7,372,401
7125,2009 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.1,425,420
7126,2009 Dodge Challenger Specs: 2-Door Coupe SE,v6,v,6,3.5,250,250
7127,2008 Dodge Challenger Specs: 2-Door Coupe SRT8,v8,v,8,6.1,425,420
7128,2019 Dodge Durango Specs: Citadel AWD,v6,v,6,3.6,295,260
7129,2019 Dodge Durango Specs: SXT Plus RWD,v6,v,6,3.6,293,260
7130,2019 Dodge Durango Specs: SXT RWD,v6,v,6,3.6,293,260
7131,2019 Dodge Durango Specs: R/T RWD,v8,v,8,5.7,360,390
7132,2019 Dodge Durango Specs: GT Plus RWD,v6,v,6,3.6,295,260
7133,2019 Dodge Durango Specs: GT RWD,v6,v,6,3.6,295,260
7134,2019 Dodge Durango Specs: Citadel Anodized Platinum RWD,v6,v,6,3.6,295,260
7135,2019 Dodge Durango Specs: Citadel RWD,v6,v,6,3.6,295,260
7136,2019 Dodge Durango Specs: SXT Plus AWD,v6,v,6,3.6,293,260
7137,2019 Dodge Durango Specs: SXT AWD,v6,v,6,3.6,293,260
7138,2019 Dodge Durango Specs: SRT AWD,v8,v,8,6.4,475,470
7139,2019 Dodge Durango Specs: R/T AWD,v8,v,8,5.7,360,390
7140,2019 Dodge Durango Specs: GT Plus AWD,v6,v,6,3.6,295,260
7141,2019 Dodge Durango Specs: GT AWD,v6,v,6,3.6,295,260
7142,2019 Dodge Durango Specs: Citadel Anodized Platinum AWD,v6,v,6,3.6,295,260
7143,2018 Dodge Durango Specs: Citadel AWD,v6,v,6,3.6,295,260
7144,2018 Dodge Durango Specs: SXT RWD,v6,v,6,3.6,293,260
7145,2018 Dodge Durango Specs: R/T RWD,v8,v,8,5.7,360,390
7146,2018 Dodge Durango Specs: GT RWD,v6,v,6,3.6,295,260
7147,2018 Dodge Durango Specs: Citadel Anodized Platinum RWD,v6,v,6,3.6,295,260
7148,2018 Dodge Durango Specs: Citadel RWD,v6,v,6,3.6,295,260
7149,2018 Dodge Durango Specs: SXT AWD,v6,v,6,3.6,293,260
7150,2018 Dodge Durango Specs: SRT AWD,v8,v,8,6.4,475,470
7151,2018 Dodge Durango Specs: R/T AWD,v8,v,8,5.7,360,390
7152,2018 Dodge Durango Specs: GT AWD,v6,v,6,3.6,295,260
7153,2018 Dodge Durango Specs: Citadel Anodized Platinum AWD,v6,v,6,3.6,295,260
7154,2016 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,295,260
7155,2016 Dodge Durango Specs: AWD 4-Door SXT,v6,v,6,3.6,290,260
7156,2016 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7157,2016 Dodge Durango Specs: AWD 4-Door Limited,v6,v,6,3.6,295,260
7158,2016 Dodge Durango Specs: AWD 4-Door Citadel Anodized Platinum,v6,v,6,3.6,295,260
7159,2016 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,295,260
7160,2016 Dodge Durango Specs: 2WD 4-Door SXT,v6,v,6,3.6,290,260
7161,2016 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7162,2016 Dodge Durango Specs: 2WD 4-Door Limited,v6,v,6,3.6,295,260
7163,2016 Dodge Durango Specs: 2WD 4-Door Citadel Anodized Platinum,v6,v,6,3.6,295,260
7164,2015 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,295,260
7165,2015 Dodge Durango Specs: AWD 4-Door SXT,v6,v,6,3.6,290,260
7166,2015 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7167,2015 Dodge Durango Specs: AWD 4-Door Limited,v6,v,6,3.6,290,260
7168,2015 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,295,260
7169,2015 Dodge Durango Specs: 2WD 4-Door SXT,v6,v,6,3.6,290,260
7170,2015 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7171,2015 Dodge Durango Specs: 2WD 4-Door Limited,v6,v,6,3.6,290,260
7172,2014 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,290,260
7173,2014 Dodge Durango Specs: AWD 4-Door SXT,v6,v,6,3.6,290,260
7174,2014 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7175,2014 Dodge Durango Specs: AWD 4-Door Limited,v6,v,6,3.6,290,260
7176,2014 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,290,260
7177,2014 Dodge Durango Specs: 2WD 4-Door SXT,v6,v,6,3.6,290,260
7178,2014 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7179,2014 Dodge Durango Specs: 2WD 4-Door Limited,v6,v,6,3.6,290,260
7180,2013 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,290,260
7181,2013 Dodge Durango Specs: AWD 4-Door SXT,v6,v,6,3.6,290,260
7182,2013 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7183,2013 Dodge Durango Specs: AWD 4-Door Crew,v6,v,6,3.6,290,260
7184,2013 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,290,260
7185,2013 Dodge Durango Specs: 2WD 4-Door SXT,v6,v,6,3.6,290,260
7186,2013 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7187,2013 Dodge Durango Specs: 2WD 4-Door Crew,v6,v,6,3.6,290,260
7188,2012 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,290,260
7189,2012 Dodge Durango Specs: AWD 4-Door SXT,v6,v,6,3.6,290,260
7190,2012 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7191,2012 Dodge Durango Specs: AWD 4-Door Heat,v6,v,6,3.6,295,260
7192,2012 Dodge Durango Specs: AWD 4-Door Crew,v6,v,6,3.6,290,260
7193,2012 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,290,260
7194,2012 Dodge Durango Specs: 2WD 4-Door SXT,v6,v,6,3.6,290,260
7195,2012 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7196,2012 Dodge Durango Specs: 2WD 4-Door Heat,v6,v,6,3.6,295,260
7197,2012 Dodge Durango Specs: 2WD 4-Door Crew,v6,v,6,3.6,290,260
7198,2011 Dodge Durango Specs: 2WD 4-Door Citadel,v6,v,6,3.6,290,260
7199,2011 Dodge Durango Specs: AWD 4-Door R/T,v8,v,8,5.7,360,390
7200,2011 Dodge Durango Specs: AWD 4-Door Heat,v6,v,6,3.6,295,260
7201,2011 Dodge Durango Specs: AWD 4-Door Express,v6,v,6,3.6,290,260
7202,2011 Dodge Durango Specs: AWD 4-Door Crew,v6,v,6,3.6,290,260
7203,2011 Dodge Durango Specs: AWD 4-Door Citadel,v6,v,6,3.6,290,260
7204,2011 Dodge Durango Specs: 2WD 4-Door R/T,v8,v,8,5.7,360,390
7205,2011 Dodge Durango Specs: 2WD 4-Door Heat,v6,v,6,3.6,295,260
7206,2011 Dodge Durango Specs: 2WD 4-Door Express,v6,v,6,3.6,290,260
7207,2011 Dodge Durango Specs: 2WD 4-Door Crew,v6,v,6,3.6,290,260
7208,2009 Dodge Durango Specs: 2WD 4-Door Limited,v8,v,8,4.7,303,330
7209,2009 Dodge Durango Specs: 4WD 4-Door SLT,v8,v,8,4.7,303,330
7210,2009 Dodge Durango Specs: 4WD 4-Door SE,v8,v,8,4.7,303,330
7211,2009 Dodge Durango Specs: 4WD 4-Door Limited Hybrid,v8,v,8,4.7,345,380
7212,2009 Dodge Durango Specs: 4WD 4-Door Limited,v8,v,8,4.7,303,330
7213,2009 Dodge Durango Specs: 2WD 4-Door SLT,v6,v,6,3.7,210,235
7214,2009 Dodge Durango Specs: 2WD 4-Door SE,v6,v,6,3.7,210,235
7215,2008 Dodge Durango Specs: 2WD 4-Door Adventurer,v8,v,8,4.7,230,290
